Timestamp,Ground truth,DBN-LSTM,LSTM,CNN
2/22/17 0:45,4,4,4,2
2/22/17 1:12,2,2,4,2
2/22/17 1:14,2,2,4,2
2/22/17 1:17,1,1,2,1
2/22/17 1:18,2,2,2,2
2/22/17 1:20,1,1,2,1
2/22/17 1:33,4,4,2,1
2/22/17 1:34,2,2,2,1
2/22/17 1:38,1,1,2,1
2/22/17 2:08,2,2,2,2
2/22/17 2:10,3,3,2,3
2/22/17 2:24,4,4,2,4
2/22/17 2:24,3,3,3,3
2/22/17 2:27,2,2,3,2
2/22/17 2:44,1,1,3,4
2/22/17 3:08,4,1,4,4
2/22/17 3:09,2,2,2,4
2/22/17 3:18,1,1,2,4
2/22/17 3:29,4,3,2,4
2/22/17 3:30,2,2,2,4
2/22/17 3:35,3,3,3,4
2/22/17 3:48,4,3,4,4
2/22/17 3:49,2,2,4,2
2/22/17 4:14,4,3,4,4
2/22/17 4:15,2,2,4,2
2/22/17 4:42,1,1,4,1
2/22/17 4:48,4,4,4,4
2/22/17 4:49,2,2,2,2
2/22/17 4:52,3,3,3,3
2/22/17 5:30,4,3,3,4
2/22/17 5:31,2,3,2,4
2/22/17 5:38,4,4,4,4
2/22/17 5:38,2,2,2,2
2/22/17 6:13,1,1,3,2
2/22/17 6:14,2,2,2,2
2/22/17 6:25,4,4,4,2
2/22/17 6:26,2,4,3,2
2/22/17 6:27,3,4,3,3
2/22/17 6:50,4,4,4,3
2/22/17 6:51,2,4,4,3
2/22/17 7:01,4,4,4,2
2/22/17 7:01,2,4,4,4
2/22/17 7:37,4,4,4,4
2/22/17 7:37,2,2,2,2
2/22/17 7:40,3,3,3,3
2/22/17 8:05,4,3,4,4
2/22/17 8:10,2,3,2,2
2/22/17 8:14,4,3,4,4
2/22/17 8:19,3,3,3,3
2/22/17 8:35,4,4,4,4
